S26,25A,25B,W4
497.5224829,16.51069356,20.46146041,1.17
159.1249945,13.67302902,293.1009462,1.65
34.12526188,3.224295612,188.058727,2.12
191.3059563,58.56672826,-169.9737352,2.59
384.5221506,43.04413876,171.5472442,2.96
214.2734697,-1.931898292,49.80290413,3.15
521.4797498,65.26376165,551.7980208,3.06
384.6611818,79.0675386,152.9966446,2.65
298.2502285,-3.219168303,111.0207053,2.16
456.3908967,38.67982813,446.8338927,1.61
194.6471695,23.89494479,330.806875,1.12
155.6671428,-49.24809271,321.1551608,0.83
71.9218327,-23.66778741,367.0016968,0.84
18.45403751,14.20731663,-62.11851618,1.22
119.9440309,46.53361195,61.13578616,1.82
-141.0664824,48.44487282,187.8074255,2.32
270.425262,107.2255097,232.9481635,2.8
260.9863669,18.93355535,65.47584484,3.15
600.7364778,-71.468585,-313.0013033,3.3
314.4043329,-41.0969845,114.2131763,3.15
212.7236595,23.50821405,494.9362483,2.62
120.1153327,50.58088893,260.6902408,2.06
-20.33922308,9.752216886,469.66018,1.53
-5.794680798,33.95458388,27.53941099,1.1
160.0818371,25.05679354,27.16803306,0.95
201.9344231,61.12791526,157.3405354,1.15
15.98477536,-1.622449557,-151.8530572,1.67
-7.342915728,-58.8367186,95.73123424,2.25
453.8223007,2.366483288,64.94125179,2.76
233.3042928,77.38387132,16.44481873,3.13
69.2699527,33.86399784,-134.6085907,3.33
186.5270258,-17.80329787,250.3530083,3.24
61.24594011,52.0814966,279.597226,2.82
309.7812868,3.529494254,419.2714844,2.27
303.9161901,-30.29957888,-308.4506487,1.69
226.2406675,-40.31822301,272.4404696,1.14
324.9454844,80.01365464,-226.4197939,0.8
104.860261,22.52615572,189.7970996,0.8
121.7083497,10.41869941,93.39848746,1.17
322.301945,0.33357683,-7.970360406,1.82
-196.3429928,126.5368634,413.9077683,2.38
32.42832679,39.03670684,256.4376198,2.9
171.6924754,-25.03670544,343.2723549,3.25
92.79087422,46.35039203,46.31180203,3.33
46.6462811,1.575656606,212.7759812,3.04
71.03355521,-6.514885854,167.579601,2.52
224.5430785,94.06915255,119.7618391,1.93
282.4201016,14.14255114,123.5745407,1.36
587.8381798,21.50884595,118.4809108,0.9
-214.2003879,11.7917063,-211.4702671,0.74
129.6627545,16.07630446,488.0544375,0.94
-54.53508461,103.1565804,15.10121302,1.53
51.14883551,88.11947383,57.52417276,2.19
185.3409005,67.78881019,167.1768317,2.74
25.11151382,79.53573316,165.6490861,3.25
399.9817482,0.615693345,387.8000834,3.49
671.1791865,-23.73433794,273.2428585,3.38
361.1298535,27.61565855,-104.7676139,2.86
26.69453736,-2.550291353,-132.8905172,2.25
